Date,Open,High,Low,Close,Volume
19-Apr-16,13.21,13.38,12.82,12.95,5417126
18-Apr-16,13.68,13.68,13.04,13.13,6996332
15-Apr-16,13.59,14.34,13.41,13.77,9260139
14-Apr-16,14.17,14.35,13.11,13.80,17296021
13-Apr-16,12.00,14.04,11.85,13.90,20955852
12-Apr-16,11.93,12.06,11.58,11.68,4842709
11-Apr-16,12.35,12.53,11.74,11.77,5304596
8-Apr-16,12.37,12.75,12.25,12.32,4655800
7-Apr-16,11.90,12.49,11.90,12.29,5253474
6-Apr-16,11.79,12.16,11.63,12.12,5943430
5-Apr-16,11.93,12.04,11.62,11.65,4041749
4-Apr-16,11.77,12.37,11.67,12.03,5284220
1-Apr-16,11.81,11.99,11.61,11.74,3894070
31-Mar-16,12.20,12.21,11.84,11.96,4336837
30-Mar-16,11.79,12.37,11.70,12.16,6096719
29-Mar-16,11.46,11.76,11.08,11.65,7286612
28-Mar-16,12.43,12.50,11.49,11.50,6907826
24-Mar-16,12.20,12.48,11.92,12.42,2829217
23-Mar-16,12.97,13.11,12.23,12.27,4396344
22-Mar-16,12.99,13.17,12.79,12.97,3328054
21-Mar-16,12.75,13.19,12.63,13.07,3350518
18-Mar-16,13.14,13.61,12.72,12.88,6215417
17-Mar-16,12.30,13.19,12.24,12.95,6599570
